"time","mean_OMUVBd_003_UVindex"
2021-07-21,9.14643383
2021-07-22,9.93146038
2021-07-23,10.307147
2021-07-24,9.82107639
2021-07-25,10.5385733
2021-07-26,11.285202
2021-07-27,11.0210629
2021-07-28,10.8244877
2021-07-29,10.6946917
2021-07-30,10.3147268
2021-07-31,10.3736324
2021-08-01,10.4476233
2021-08-02,10.8006392
2021-08-03,10.5405493
2021-08-04,9.9921608
2021-08-05,10.2366705
2021-08-06,10.7002344
2021-08-07,10.1913643
2021-08-08,9.64130688
2021-08-09,10.6018562
2021-08-10,10.7045383
2021-08-11,11.4141941
2021-08-12,10.7263422
2021-08-13,10.0845251
2021-08-14,10.6518812
2021-08-15,10.5350018
2021-08-16,10.5909243
2021-08-17,10.3167667
2021-08-18,9.88566685
2021-08-19,10.1858158
2021-08-20,10.0852003
2021-08-21,10.5849714
2021-08-22,9.64679813
2021-08-23,10.6512098
2021-08-24,10.6429577
2021-08-25,10.5346613
2021-08-26,11.4269552
2021-08-27,11.1716461
2021-08-28,10.5908289
2021-08-29,11.7064667
2021-08-30,10.7054052
2021-08-31,11.1068678
2021-09-01,10.0205765
2021-09-02,11.039711
2021-09-03,10.5672035
2021-09-04,11.4139528
2021-09-05,11.408987
2021-09-06,11.573741
2021-09-07,11.6216545
2021-09-08,11.1049776
2021-09-09,11.4140348
2021-09-10,11.6387053
2021-09-11,11.3378296
2021-09-12,11.3371067
2021-09-13,10.7809906
2021-09-14,10.936656
2021-09-15,11.764679
2021-09-16,10.9723091
2021-09-17,12.2035341
2021-09-18,11.1153297
2021-09-19,11.1634216
2021-09-20,12.0064487
2021-09-21,11.2263727
2021-09-22,11.8430529
2021-09-23,11.3775692
2021-09-24,11.259923
2021-09-25,12.6420813
2021-09-26,11.3875656
2021-09-27,12.6604261
2021-09-28,12.3155594
2021-09-29,11.5046453
2021-09-30,11.8900385
2021-10-01,10.6790018
2021-10-02,12.178937
2021-10-03,11.8972282
2021-10-04,12.2873325
2021-10-05,13.0026217
2021-10-06,12.818759
2021-10-07,12.6626816
2021-10-08,13.1779108
2021-10-09,13.7632141
2021-10-10,12.2031012
2021-10-11,13.0876389
2021-10-12,13.7738981
2021-10-13,13.5178537
2021-10-14,12.4486103
2021-10-15,13.6839199
2021-10-16,13.4100809
2021-10-17,10.9304781
2021-10-18,12.4700909
2021-10-19,11.4283161
2021-10-20,12.5840483
2021-10-21,12.1414394
2021-10-22,11.2402582
2021-10-23,12.9867926
2021-10-24,12.6640682
2021-10-25,12.3795853
2021-10-26,12.3329868
2021-10-27,12.1071606
2021-10-28,11.2861624
2021-10-29,12.5248051
2021-10-30,11.4723253
2021-10-31,12.1674662
2021-11-01,11.3686085
2021-11-02,12.0113659
2021-11-03,12.7979269
2021-11-04,11.7986488
2021-11-05,12.1020374
2021-11-06,12.2529306
2021-11-07,12.2047682
2021-11-08,11.7270231
2021-11-09,11.9771576
2021-11-10,11.0576687
2021-11-11,10.3249607
2021-11-12,10.685317
2021-11-13,10.2475424
2021-11-14,11.0809927
2021-11-15,10.5250072
2021-11-16,11.6536093
2021-11-17,11.8822908
2021-11-18,11.3409729
2021-11-19,10.8414488
2021-11-20,11.4994593
2021-11-21,11.6789923
2021-11-22,11.8758717
2021-11-23,11.5813274
2021-11-24,10.1673317
2021-11-25,12.3512001
2021-11-26,10.9172468
2021-11-27,10.5549612
2021-11-28,10.2325468
2021-11-29,11.4145555
2021-11-30,11.4628506
2021-12-01,11.4102087
2021-12-02,10.8975821
2021-12-03,11.7043352
2021-12-04,9.88591957
2021-12-05,10.046257
2021-12-06,10.4743013
2021-12-07,10.7496395
2021-12-08,10.4603643
2021-12-09,11.468565
2021-12-10,10.8672314
2021-12-11,11.6200571
2021-12-12,10.7277079
2021-12-13,11.3150501
2021-12-14,11.5073757
2021-12-15,11.4734259
2021-12-16,11.4177399
2021-12-17,10.7818365
2021-12-18,10.9061289
2021-12-19,11.2658167
2021-12-20,9.6908226
2021-12-21,10.6811142
2021-12-22,10.5359087
2021-12-23,10.0380869
2021-12-24,11.856513
2021-12-25,11.061554
2021-12-26,11.4048281
2021-12-27,10.1263151
2021-12-28,11.0024185
2021-12-29,11.2189007
2021-12-30,11.286829
2021-12-31,10.0535593
2022-01-01,10.8217402
2022-01-02,10.2840633
2022-01-03,10.9010572
2022-01-04,10.783823
2022-01-05,11.3717709
2022-01-06,11.0461884
2022-01-07,11.3109465
2022-01-08,11.3260632
2022-01-09,10.7896938
2022-01-10,11.0565958
2022-01-11,11.0607157
2022-01-12,11.6077185
2022-01-13,11.0517874
2022-01-14,12.1674986
2022-01-15,11.1169415
2022-01-16,10.3089781
2022-01-17,10.9229498
2022-01-18,10.6337938
2022-01-19,10.0869513
2022-01-20,10.0558157
2022-01-21,11.1756163
2022-01-22,12.0091915
2022-01-23,12.6981258
2022-01-24,12.9505205
2022-01-25,12.9134455
2022-01-26,12.8842793
2022-01-27,12.5461416
2022-01-28,11.9528093
2022-01-29,12.4905558
2022-01-30,12.1657848
2022-01-31,11.9908781
2022-02-01,11.5735474
2022-02-02,12.1565237
2022-02-03,12.2963266
2022-02-04,11.9716415
2022-02-05,12.192523
2022-02-06,11.5064688
2022-02-07,11.8739195
2022-02-08,11.3086634
2022-02-09,10.9247293
2022-02-10,10.4369154
2022-02-11,11.2014503
2022-02-12,12.0098982
2022-02-13,11.7259865
2022-02-14,12.8381453
2022-02-15,12.4160385
2022-02-16,11.9426212
2022-02-17,12.1892614
2022-02-18,12.45856
2022-02-19,12.3533754
2022-02-20,11.6532736
2022-02-21,10.8408337
2022-02-22,10.7295723
2022-02-23,12.2583132
2022-02-24,11.5538626
2022-02-25,12.6825504
2022-02-26,13.1644936
2022-02-27,12.7769508
2022-02-28,13.2307863
2022-03-01,13.1229973
2022-03-02,13.0304546
2022-03-03,12.0709724
